# Bornomala Bangla phonetic-key index: ambiguity-collapsed key -> Bangla words.
# Generated by scripts/gen_bn_phonetic.py from bn_frequency.txt; do not hand-edit.
# The key algorithm is BanglaPhoneticKey.banglaKey; BanglaPhoneticKeyTest re-derives
# every line below with the Kotlin implementation so the two cannot drift.
a	আ আঃ
bacs	বাচস
bacte	বাঁচতে বাচতে
bad	বাদ বাঁধ বাঁধো
bada	বাধা বাঁধা ওয়াদা
badam	বাদাম
badamer	বাদামের
badami	বাদামী
bade	বাদে
badi	বাডি
badike	বাঁদিকে
badn	বাঁধন
badr	বাঁদর
badte	বাঁধতে
badur	বাদুর বাদুড়
bady	বাধ্য অবাধ্য
bag	ভাগ ভাগো বাঘ
baga	অভাগা
bagabagi	ভাগাভাগি
bagan	বাগান
bagane	বাগানে
baganer	বাগানের
bage	ভাগে
bager	বাঘের ভাগের
bagins	বাগিন্স
bagy	ভাগ্য
bagyban	ভাগ্যবান
bagybti	ভাগ্যবতী
bagye	ভাগ্যে
bagyer	ভাগ্যের
bagyke	ভাগ্যকে
bah	বাহ বাহ্ ওয়াহ
bahana	বাহানা
bahini	বাহিনী
bahinike	বাহিনীকে
bahinir	বাহিনীর
bahir	বাহির
bahire	বাহিরে
bahirer	বাহিরের
bahu	বাহু
bai	ভাই বাই
baibel	বাইবেল
baibele	বাইবেলে
baibeler	বাইবেলের
baibi	ওয়াইবি
baider	ভাইদের
baijan	ভাইজান
baik	বাইক
baike	ভাইকে বাইকে
baiker	বাইকের
baikta	বাইকটা
bain	ওয়াইন
bair	বাইর
bairas	ভাইরাস
bairase	ভাইরাসে
bairaser	ভাইরাসের
baire	বাইরে
bairei	বাইরেই
bairer	বাইরের
bais	ভাইস
baisb	ভাইসব
baiya	ভাইয়া
baiyer	ভাইয়ের
baiyera	ভাইয়েরা
baj	বায ভাঁজ বাজ
baja	বাজাও ভাজা
bajabe	বাজাবে
bajai	বাজাই
bajan	বাজানো
bajanr	বাজানোর
bajar	বাজার
bajare	বাজারে
bajarer	বাজারের
bajate	বাজাতে
bajbe	বাজবে
bajce	বাজছে
bajda	ওয়াজদা
baje	বাজে
bajeyapt	বাজেয়াপ্ত
baji	বাজি বাজী
bajite	বাজিতে
bajiye	বাজিয়ে
bajte	বাজতে
bak	অবাক বাক ওয়াক
baka	বাঁকা
bakar	ওয়াকার
bakbik	বাকবিক
baki	বাকি বাকী
bakider	বাকিদের
bakira	বাকিরা
bakita	বাকিটা
bakituku	বাকিটুকু
bakpik	বাকপিক
baks	বাক্স
bakse	বাক্সে
bakser	বাক্সের
baksta	বাক্সটা
baky	বাক্য
bal	ভালো ভাল বাল
bala	ওয়ালা ভালা বালা
balage	ভাল্লাগে
balan	বালান
balar	ওয়ালার
balbabe	ভালোভাবে ভালভাবে
balbabei	ভালোভাবেই ভালভাবেই
balbas	ভালোবাসো ভালবাসো ভালবাস
balbasa	ভালোবাসা ভালবাসা
balbasake	ভালোবাসাকে
balbasar	ভালোবাসার ভালবাসার
balbasay	ভালোবাসায়
balbasbe	ভালোবাসবে ভালবাসবে
balbase	ভালোবাসে ভালবাসে
balbasen	ভালবাসেন
balbasi	ভালোবাসি ভালবাসি
balbasis	ভালোবাসিস
balbast	ভালোবাসতো ভালবাসত
balbastam	ভালোবাসতাম ভালবাসতাম
balbaste	ভালোবাসতে ভালবাসতে
balbese	ভালোবেসে ভালবেসে
balcal	বালছাল
baler	বালের
bales	ওয়ালেস
baleser	ওয়ালেসের
balet	ওয়ালেট
bali	ভালোই ভালই বালি
balika	বালিকা
balin	বালিন
balk	বালক
balmt	ভালোমতো
balr	ভালোর
balta	বালটা
baltar	ওয়াল্টার
balti	বালতি
baluk	ভালুক ভাল্লুক
baly	ভালোয়
bam	বাম
bamdike	বামদিকে
bame	বামে
bamer	বামের
bamn	বামন
bamnder	বামনদের
ban	ওয়ান ভান বান
bana	বানাও
banab	বানাবো বানাব
banabe	বানাবে
banac	বানাচ্ছ
banace	বানাচ্ছে
banaci	বানাচ্ছি
banai	বানাই
banaice	বানাইছে
banalam	বানালাম
banan	বানানো বানান
bananr	বানানোর
banate	বানাতে
banay	বানায়
banda	বান্দা ওয়ান্ডা
bandbi	বান্ধবী
bandr	বান্দর
bang	ওয়াং
banga	ভাঙ্গা ভাঙা
bangar	ভাঙ্গার ভাঙার
bangla	বাংলা
bangladeser	বাংলাদেশের
banglay	বাংলায়
bangte	ভাঙতে ভাংতে ভাঙ্গতে
bangti	ভাংতি
bani	বাণী বানী
banijy	বাণিজ্য
baniye	বানিয়ে
baniyec	বানিয়েছ
baniyece	বানিয়েছে
baniyecen	বানিয়েছেন
baniyeci	বানিয়েছি
baniyecil	বানিয়েছিল
baniyecilam	বানিয়েছিলাম
banr	বানর
banrer	বানরের
banu	ভানু
banuke	ভানুকে
banur	ভানুর
bap	বাপ
bapal	বাফালো
baper	বাপের
bapke	বাপকে
bapre	বাপরে বাপ্রে
bar	বার ওভার ভার বারো বাড়ো
bara	ভাড়া বাড়াও
barabari	বাড়াবাড়ি
baran	বাড়ানো
baranda	বারান্দা
baranday	বারান্দায়
baranr	বাড়ানোর
barate	ভাড়াটে বাড়াতে
barbar	বারবার
barbe	বাড়বে
barbsa	বারবোসা
barce	বাড়ছে
bard	ওয়ার্ড বার্ড
barden	ওয়ার্ডেন
bare	বারে বাড়ে
baren	ওয়ারেন
barent	ওয়ারেন্ট
barer	বারের
bargar	বার্গার
bari	বাড়ি ভারী ভারি বাড়ী
barir	বাড়ির
barita	বাড়িটা
barite	বাড়িতে বাড়ীতে
baritei	বাড়িতেই
bariye	বাড়িয়ে
barjin	ভার্জিন
barjiniya	ভার্জিনিয়া
barld	ওয়ার্ল্ড
barlds	ওয়ার্ল্ডস
barlin	বার্লিন
barline	বার্লিনে
barn	ভার্ন বার্ন
barni	বার্নি
barnn	ভার্নন
barns	বার্ন্স
barsamy	ভারসাম্য
barsik	বার্ষিক
barsiki	বার্ষিকী
bart	ভারত বার্ট
barta	বার্তা বারোটা
bartabahk	বার্তাবাহক
bartde	বার্থডে
barte	বাড়তে ভারতে
barter	ভারতের
barti	বাড়তি
bartiy	ভারতীয়
barud	বারুদ
bas	বাস বাঁশ বাসো
basa	ভাষা বাসা ভাসাও
basar	বাসার ভাষার
basay	বাসায় ভাষায়
base	বাসে
baser	বাসের
basi	বাঁশি ভাষী বাসি
basinda	বাসিন্দা
basingtn	ওয়াশিংটন
basingtne	ওয়াশিংটনে
basingtner	ওয়াশিংটনের
basiye	ভাসিয়ে
basketbl	বাস্কেটবল
baskry	ভাস্কর্য
basman	ভাসমান
basn	ভাষণ
bastb	বাস্তব
bastbe	বাস্তবে
bastbik	বাস্তবিক
bastbta	বাস্তবতা
baste	ওয়াস্তে
bat	ভাত
batar	ওয়াটার
batars	ওয়াটার্স
batas	বাতাস
batase	বাতাসে
bataser	বাতাসের
bataske	বাতাসকে
bati	বাতি
batija	ভাতিজা
batil	বাতিল
batn	বাটন
batrum	বাথরুম
batrume	বাথরুমে
batrumer	বাথরুমের
batsn	ওয়াটসন
baya	ভায়া
baye	বাঁয়ে বায়ে
bayu	বায়ু
bb	বব
bba	বোবা
bbani	ভবানী
bbi	ববি
bbisydbani	ভবিষ্যদ্বাণী
bbisyt	ভবিষ্যৎ ভবিষ্যত
bbisyte	ভবিষ্যতে
bbisyter	ভবিষ্যতের
bbn	ভবন
bbne	ভবনে
bbner	ভবনের
bcetn	অবচেতন
bcr	বছর
bcre	বছরে বছরেও
bcrer	বছরের বছরেরও
bcrkanek	বছরখানেক
