# Bornomala Bangla phonetic-key index: ambiguity-collapsed key -> Bangla words.
# Generated by scripts/gen_bn_phonetic.py from bn_frequency.txt; do not hand-edit.
# The key algorithm is BanglaPhoneticKey.banglaKey; BanglaPhoneticKeyTest re-derives
# every line below with the Kotlin implementation so the two cannot drift.
a	আ আঃ
kent	কেন্ট
kentn	কেন্টন
kep	কেপ
kepe	ক্ষেপে
kere	কেড়ে কেরে কেঁড়ে
kes	কেস
kese	কেসে
keser	কেসের
kesi	কেসি
kesta	কেসটা
ket	কেট ক্ষেত
kete	খেতে কেটে ক্ষেতে
ketece	কেটেছে
ketr	ক্ষেত্র
ketre	ক্ষেত্রে ক্ষেত্রেও
ketrei	ক্ষেত্রেই
keu	কেউ
keui	কেউই
keyal	খেয়াল
keyale	খেয়ালে
keyar	কেয়ার
keye	খেয়ে
keyec	খেয়েছ খেয়েছো
keyece	খেয়েছে
keyecen	খেয়েছেন
keyeci	খেয়েছি
keyecil	খেয়েছিল
keyecilam	খেয়েছিলাম
keyei	খেয়েই
khli	কোহলি
ki	কি কী কই
kibabe	কিভাবে কীভাবে
kice	কইছে
kicene	কিচেনে
kicu	কিছু কিচ্ছু
kicudin	কিছুদিন
kicudiner	কিছুদিনের
kicui	কিছুই
kicuke	কিছুকে
kicukn	কিছুক্ষণ কিছুক্ষন
kicukner	কিছুক্ষণের কিছুক্ষনের
kicuksn	কিছুক্ষণ কিছুক্ষন
kicuksner	কিছুক্ষণের কিছুক্ষনের
kicuna	কিছুনা কিচ্ছুনা
kicur	কিছুর
kicuri	কিছুরই
kicut	কিছুতো
kicuta	কিছুটা
kicute	কিছুতে
kicutei	কিছুতেই
kid	কিড
kida	ক্ষিধা
kide	খিদে
kidnyap	কিডন্যাপ
kiiba	কিইবা কীইবা
kik	কিক
kil	কিলো
kilai	কিলাই
kilar	কিলার
kili	কিলি
kilmitar	কিলোমিটার
kim	কিম
kimer	কিমের
kina	কিনা
kinaray	কিনারায়
kinb	কিনব কিনবো
kinbe	কিনবে
kine	কিনে
kinece	কিনেছে
kineci	কিনেছি
king	কিং
kingba	কিংবা
kingbdnti	কিংবদন্তী কিংবদন্তি
kings	কিংস
kingsmyan	কিংসম্যান
kinle	কিনলে
kint	কিন্ত
kinte	কিনতে
kintu	কিন্তু
kintuu	কিন্তুু
kipt	ক্ষিপ্ত
kir	কইরো
kira	কইরা
kire	কিরে
kirkm	কিরকম কীরকম
kirn	কিরণ
kis	কিস
kisb	কিসব
kise	কিসে কীসে
kiser	কিসের কীসের
kit	খিত কিট কিথ
kitaci	কইতাছি
kiti	কিটি
kiu	কিউ
kiut	কিউট
kj	খোঁজ খোজ খোঁজো
kja	খোঁজা খোজা
kjar	খোঁজার খোজার
kje	খোঁজে খোজে
kjkbr	খোঁজখবর
kk	কক্ষ কোক
kka	খোকা
kke	কক্ষে
kkn	কখনো কখনও কখন কক্ষনো
kkni	কখনোই কখনই
kkpte	কক্ষপথে
kks	কক্ষ
kkse	কক্ষে
kksn	কক্ষনো
kkspte	কক্ষপথে
kl	কল খোল খোলো কোল
kla	খোলা কলা
klab	ক্লাব
klabe	ক্লাবে
klaber	ক্লাবের
klakuli	খোলাখুলি কোলাকুলি
klamela	খোলামেলা
klangk	ক্লাঙ্ক
klant	ক্লান্ত
klar	খোলার কলার
klarik	ক্লারিক
klaris	ক্লারিস
klark	ক্লার্ক
klas	ক্লাস
klase	ক্লাসে
klaser	ক্লাসের
klaski	কওলাস্কি
klayent	ক্লায়েন্ট
kle	কোলে খোলে
klej	কলেজ
kleje	কলেজে
klejer	কলেজের
klen	খোলেন
kler	কলের
klet	কোলেট
kleyar	ক্লেয়ার
kli	কলি
klija	কলিজা
klik	ক্লিক
klimens	ক্লিমেন্স
klinar	ক্লিনার
kling	কলিং
klins	কলিন্স
kliyar	ক্লিয়ার
klj	ক্লোজ
klm	কলম
klmer	কলমের
klni	কলোনি
klnite	কলোনিতে
klpna	কল্পনা কল্পনাও
klpnar	কল্পনার
klpnay	কল্পনায়
kls	খোলস
klski	কোলোস্কি
klta	কলটা
klu	ক্লু
km	কম অক্ষম
kma	ক্ষমা কমাও
kmand	কমান্ড
kmandar	কমান্ডার
kmandarer	কমান্ডারের
kmander	কমান্ডের
kmanr	কমানোর
kmaprarti	ক্ষমাপ্রার্থী
kmar	ক্ষমার
kmate	কমাতে
kmay	কোমায়
kmbysi	কমবয়সী
kmce	কমছে
kmdr	কমোডোর
kme	কমে
kmi	কমই
kmik	কমিক
kmisn	কমিশন
kmisnar	কমিশনার
kmisnarer	কমিশনারের
kmiti	কমিটি
kmitir	কমিটির
kmiuniti	কমিউনিটি
kmiye	কমিয়ে
kml	কোমল
kmla	কমলা
kmlar	কমলার
kmn	কমন
kmpani	কোম্পানি কোম্পানী
kmpanike	কোম্পানিকে
kmpanir	কোম্পানির
kmpanite	কোম্পানিতে
kmpas	কম্পাস
kmpiutar	কম্পিউটার
kmpiutare	কম্পিউটারে
kmpiutarer	কম্পিউটারের
kmpke	কমপক্ষে
kmpkse	কমপক্ষে
kmplit	কমপ্লিট
kmpn	কম্পন
kmr	কোমর
kmred	কমরেড
kmse	কমসে
kmta	ক্ষমতা
kmtaban	ক্ষমতাবান
kmtadr	ক্ষমতাধর
kmtar	ক্ষমতার
kmtasali	ক্ষমতাশালী
kmtay	ক্ষমতায়
kmti	কমতি
kn	কোন কোনো কোনও কন
kna	কণা
knars	কনারস
knay	কোণায় কোনায়
knbabe	কোনভাবে কোনোভাবে
knbabei	কোনভাবেই কোনোভাবেই
kndike	কোনদিকে
kndin	কোনদিন কোনোদিন কোনদিনও
kndini	কোনোদিনই
kne	কনে কোণে
kni	খনি
knkicu	কোনকিছু
knkicui	কোনকিছুই
knkicur	কোনকিছুর
knn	খনন
knparens	কনফারেন্স
knparm	কনফার্ম
knparmd	কনফার্মড
knr	কনর
knrkm	কোনরকম
knrs	কনর্স
knstebl	কনস্টেবল
knstens	কন্সটেন্স
knt	কণ্ঠ কন্ঠ কন্ঠঃ
knta	কোনটা
kntai	কোনটাই
kntar	কোনটার
knti	কোনটি
kntrakt	কন্ট্রাক্ট
kntrl	কন্ট্রোল
kntrle	কন্ট্রোলে
kntsbr	কন্ঠস্বর কণ্ঠস্বর
knya	কন্যা
kp	কোঅপ
kpal	কপাল
kpale	কপালে
kpi	কফি কপি
kpin	কফিন
kpir	কফির
kr	করো কর কোরো অক্ষর কোর
kra	করা করাও কড়া
krab	করাব
krabe	করাবে
kraben	করাবেন
krai	করাই
kraim	ক্রাইম
kraist	ক্রাইস্ট
kralain	কোরালাইন
kram	ক্রাম
kran	করানো কোরআন
kranr	করানোর
krar	করার
kras	ক্রাশ
krata	করাটা
kratai	করাটাই
krate	করাতে
kray	করায়
krb	করবো করব
krba	করবা
krbe	করবে
krbei	করবেই
krben	করবেন
krbena	করবেনা
krbi	করবি করবই করবোই
krbin	করবিন
krbna	করবনা করবোনা
krc	করছ করছো খরচ
krce	করছে
krcen	করছেন
krcena	করছেনা
krci	করছি
krcil	করছিল করছিলো
krcilam	করছিলাম
krcile	করছিলে
krcilen	করছিলেন
krcina	করছিনা
krcis	করছিস
krcta	করছোটা
krd	ক্রোধ
kre	করে করেও ক্রে
krec	করেছ করেছো
krece	করেছে
krecen	করেছেন
kreci	করেছি
krecil	করেছিল করেছিলো
krecilam	করেছিলাম
krecile	করেছিলে
krecilen	করেছিলেন
krecili	করেছিলি
krecis	করেছিস
kredit	ক্রেডিট
krei	করেই
krekjiya	ক্রেকোঝিয়া
kremlin	ক্রেমলিন
kren	করেন ক্রেন
krena	করেনা
kreni	করেনি
krenni	করেননি
kreta	ক্রেতা
krgs	খরগোশ
krgser	খরগোশের
kri	করি করিও
kridi	ক্রিডি
kriket	ক্রিকেট
krim	ক্রিম
krimi	কৃমি
kriminal	ক্রিমিনাল
krina	করিনা
krini	করিনি
kris	করিস ক্রিস ক্রিসঃ
krisciyan	ক্রিশ্চিয়ান
krisi	কৃষি
krisk	কৃষক
kriskder	কৃষকদের
krismas	ক্রিসমাস
krismase	ক্রিসমাসে
krismaser	ক্রিসমাসের
krist	খ্রিস্ট
kristan	খ্রিষ্টান
kristina	ক্রিস্টিনা
kristpar	ক্রিসটোফার ক্রিস্টোফার
kritdas	ক্রীতদাস
kritg	কৃতজ্ঞ
kritgta	কৃতজ্ঞতা
kritgy	কৃতজ্ঞ
kritgyta	কৃতজ্ঞতা
krititb	কৃতিত্ব
kritjn	কৃতজ্ঞ
kritjnta	কৃতজ্ঞতা
kritrim	কৃত্রিম
kriyan	কোরিয়ান
kriyar	কোরিয়ার
kriye	করিয়ে
kriyece	করিয়েছে
kriyeci	করিয়েছি
krl	করলো করল
krlam	করলাম
krle	করলে করলেও
krlei	করলেই
krlen	করলেন
krleyne	কোর্লেয়নে
krli	করলি
krm	কর্ম
krma	অকর্মা
krmar	অকর্মার
krmcari	কর্মচারী
krme	ক্রমে
krmer	কর্মের
krmi	কর্মী
krmider	কর্মীদের
krmkand	কর্মকান্ড
krmkrta	কর্মকর্তা
krmkrtader	কর্মকর্তাদের
krmu	করমু
krna	করোনা কোরনা করনা কোরোনা
krnar	কর্নার
krnare	কর্নারে
krnel	কর্নেল
krni	করনি করোনি
krp	কর্প
krpral	করপোরাল
krpresner	কর্পোরেশনের
krs	ক্রস করস কোর্স
krt	করত করতো কোর্ট
krtace	করতাছে
krtaci	করতাছি
krtam	করতাম
krtby	কর্তব্য
krte	করতে কোর্টে করতেও
krtec	করতেছো করতেছ
krtece	করতেছে
krteci	করতেছি
krtecis	করতেছিস
krtei	করতেই
krten	করতেন
krter	কোর্টের
krtrik	কর্তৃক
krtripk	কর্তৃপক্ষ
krtripker	কর্তৃপক্ষের
krtripks	কর্তৃপক্ষ
krtripkser	কর্তৃপক্ষের
krtritb	কর্তৃত্ব
kru	ক্রু
krud	ক্রুদ্ধ
kruk	করুক
krum	করুম
krun	করুন করুণ
kruna	করুণা করুনা
kryas	ক্র্যাশ
ks	খোশ কস কোষ
ksant	ক্ষান্ত
ksb	ক্ষোভ
kse	কষে
ksepe	ক্ষেপে
kset	ক্ষেত
ksete	ক্ষেতে
ksetr	ক্ষেত্র
ksetre	ক্ষেত্রে ক্ষেত্রেও
ksetrei	ক্ষেত্রেই
ksi	ক্সি
ksida	ক্ষিধা
ksijen	অক্সিজেন
ksipt	ক্ষিপ্ত
ksm	কসম অক্ষম
ksma	ক্ষমা
ksmaprarti	ক্ষমাপ্রার্থী
ksmar	ক্ষমার
ksmta	ক্ষমতা
ksmtaban	ক্ষমতাবান
ksmtadr	ক্ষমতাধর
ksmtar	ক্ষমতার
ksmtasali	ক্ষমতাশালী
ksmtay	ক্ষমতায়
ksprd	অক্সফোর্ড
ksr	অক্ষর
kst	কষ্ট ক্ষত অক্ষত
kstdayk	কষ্টদায়ক
kste	কষ্টে
kstel	কস্টেলো
kstelr	কস্টেলোর
kster	কষ্টের
ksti	ক্ষতি
kstigrst	ক্ষতিগ্রস্ত
kstikr	ক্ষতিকর
kstipurn	ক্ষতিপূরণ
kstir	ক্ষতির
kstium	কস্টিউম
kstkr	কষ্টকর
ksuda	ক্ষুধা
ksudart	ক্ষুধার্ত
ksudr	ক্ষুদ্র
kt	কত কতো ক্ষত কোট অক্ষত কত্ত
kta	কথা কোথাও কোথা কথাও
ktabarta	কথাবার্তা
ktagul	কথাগুলো
ktai	কথাই
ktakar	কোথাকার
ktamt	কথামত
ktar	কথার
ktata	কথাটা
ktatil	কোত্তাতিল
ktay	কোথায় কথায়
ktbar	কতবার
ktbr	অক্টোবর
ktdin	কতদিন
ktdur	কতদূর
kteke	কোত্থেকে
kter	কোটের
ktgul	কতগুলো
kti	ক্ষতি কোটি
ktigrst	ক্ষতিগ্রস্ত
ktikr	ক্ষতিকর
ktin	কঠিন
ktipti	কোটিপতি
ktipurn	ক্ষতিপূরণ
ktir	ক্ষতির
ktit	কথিত
ktjn	কতজন
ktkani	কতখানি
ktkn	কতক্ষণ কতক্ষন
ktksn	কতক্ষণ কতক্ষন
ktm	খতম
ktpktn	কথোপকথন
ktr	কঠোর
ktta	কতটা কতোটা কোটটা
kttuku	কতটুকু
ku	কু
kub	খুব
kubi	খুবই
kubladar	কুবলাদার
kubra	কুবরা
kubrake	কুবরাকে
kubrar	কুবরার
kuda	ক্ষুধা
kudart	ক্ষুধার্ত
kudr	ক্ষুদ্র
kudret	কুদরেত
kuidic	কুইডিচ
kuil	কুইল
kuin	কুইন
kuj	খুঁজো
kujb	খুঁজব খুঁজবো
kujbe	খুঁজবে
kujc	খুঁজছো খুঁজছ খুজছ খুজছো
kujce	খুঁজছে খুজছে
kujcen	খুঁজছেন
kujci	খুঁজছি খুজছি
kujcilam	খুঁজছিলাম খুজছিলাম
kuje	খুঁজে খুজে
kujeci	খুঁজেছি
kuji	খুঁজি
kujn	কূজন
kujte	খুঁজতে খুজতে
kujun	খুঁজুন
kuk	কুক
kuki	খুকি
kukur	কুকুর
kukurcana	কুকুরছানা
kukurer	কুকুরের
kukurke	কুকুরকে
kukurta	কুকুরটা
kukyat	কুখ্যাত
kul	খুলো খুল কুল
kulb	খুলব খুলবো
kulbe	খুলবে
kulben	খুলবেন
kulce	খুলছে
kulci	খুলছি
kule	খুলে
kulece	খুলেছে
kuli	খুলি
kulle	খুললে
kulte	খুলতে
kulun	খুলুন
kumar	কুমার
kumari	কুমারী
kun	খুন কুন
kundlibisist	কুণ্ডলিবিশিষ্ট
kuner	খুনের কুনের
kungpu	কুংফু
kuni	খুনি খুনী
kunike	খুনিকে খুনীকে
kunir	খুনির খুনীর
kunju	কুনজু
kunta	খুনটা
kup	কুপ
kupar	কুপার
kupuri	কুফুরি
kur	কুর
kure	খুঁড়ে কুড়ে
kuriye	কুড়িয়ে
kusi	খুশি খুশী
kusir	খুশির
kusite	খুশিতে
kusl	কৌশল
kusle	কৌশলে
kusler	কৌশলের
kuslta	কৌশলটা
kuta	কুত্তা কুট্টা
kutan	কুট্টান
kutar	কুত্তার
kutatake	কুত্তাটাকে
kuti	কুত্তী
kutinati	খুঁটিনাটি
kutsit	কুৎসিত
kutuhl	কৌতূহল কৌতুহল
kutuk	কৌতুক
kuyet	কুয়েত
kuyeti	কুয়েতী
ky	কয়
kyab	ক্যাব
kyabl	ক্যাবল
kyac	ক্যাচ
kyaleb	ক্যালেব
kyalski	কোয়ালস্কি
kyamera	ক্যামেরা
kyameramyan	ক্যামেরাম্যান
kyamerar	ক্যামেরার
kyamerata	ক্যামেরাটা
kyameray	ক্যামেরায়
kyamern	ক্যামেরন
kyamn	ক্যামন
kyamne	ক্যামনে
kyamp	ক্যাম্প
kyampe	ক্যাম্পে
kyamper	ক্যাম্পের
kyan	ক্যান
kyandi	ক্যান্ডি
kyang	ক্যাং
kyansar	ক্যান্সার
kyansarer	ক্যান্সারের
kyantam	কোয়ান্টাম
kyap	ক্যাপ
kyapete	ক্যাফেতে
kyapten	ক্যাপ্টেন ক্যাপটেন
kyaptener	ক্যাপ্টেনের
kyaptenke	ক্যাপ্টেনকে
kyaralain	ক্যারালাইন
kyarina	ক্যারিনা
kyariyar	ক্যারিয়ার
kyariyarer	ক্যারিয়ারের
kyarl	ক্যারল
kyartar	কোয়ার্টার
kyas	ক্যাশ
kyasel	ক্যাসেল
kyasi	ক্যাসি
kyasin	ক্যাসিনো
kyasinte	ক্যাসিনোতে
kyat	ক্যাট
kyati	খ্যাতি
kyatnis	ক্যাটনিস
kyatrin	ক্যাথরিন
kyatrina	ক্যাটরিনা
kydin	কয়দিন
kyedi	কয়েদী কয়েদি
kyek	কয়েক
kyekbar	কয়েকবার
kyekdin	কয়েকদিন
kyekdiner	কয়েকদিনের
kyekjn	কয়েকজন
kyekta	কয়েকটা
kyekti	কয়েকটি
kyen	কয়েন
kyjn	কয়জন
kyla	কয়লা
kyta	কয়টা
l	অল লো
la	লা লাও
lab	লাভ
labaik	লাব্বাইক
laber	লাভের
labjnk	লাভজনক
labsen	ওলাভসেন
laga	লাগাও লাগা
lagabe	লাগাবে
lagaci	লাগাচ্ছি
lagan	লাগানো লাগান
laganr	লাগানোর
lagar	লাগার
lagate	লাগাতে
lagay	লাগায়
lagb	লাগবো
lagbe	লাগবে
lagbei	লাগবেই
lagbena	লাগবেনা
lagce	লাগছে
lagcena	লাগছেনা
lagcil	লাগছিল লাগছিলো
lage	লাগে
lagena	লাগেনা
lageni	লাগেনি
lagi	লাগি
lagiye	লাগিয়ে
lagiyece	লাগিয়েছে
lagiyeci	লাগিয়েছি
lagl	লাগলো লাগল
laglam	লাগলাম
lagle	লাগলে
lagt	লাগতো লাগত
lagte	লাগতে
laib	লাইভ
laiga	লাইগা
laigya	লাইগ্যা
lain	লাইন
laine	লাইনে
lainer	লাইনের
lainta	লাইনটা
laip	লাইফ
laisens	লাইসেন্স
lait	লাইট
laiter	লাইটের
laitiyar	লাইটইয়ার
laitta	লাইটটা
lajl	লাযলো
lajuk	লাজুক
lak	লাখ লাক
laki	লাকি
lakri	লাকড়ি
lal	লাল
laln	লালন
lanc	লাঞ্চ
lancer	লাঞ্চের
lanselt	লান্সেলট
lap	লাফ
lapa	লাফাও
lapata	লাপাত্তা
lapiye	লাফিয়ে
las	লাশ লাস
laser	লাশের
last	লাস্ট
lasta	লাশটা
lati	লাথি লাঠি লাত্থি
latir	লাঠির
latita	লাঠিটা
layn	লায়ন
lb	লোভ
lbe	লোভে
lbi	লোভী
lbn	লবণ
ld	লোড ওল্ড
le	লে
leak	লোক
lebel	লেভেল লেবেল
lebu	লেবু
ledi	লেডি
ledis	লেডিস
leg	লেগ
lege	লেগে
legece	লেগেছে
legecil	লেগেছিল লেগেছিলো
lein	লেইন
leina	লেইনা
lej	লেজ
lejar	লেজার
lek	ওলেক লেক লেখো লেখ
leka	লেখা
lekapra	লেখাপড়া
lekar	লেখার
lekcar	লেকচার
leken	লেখেন
leker	লেকের
lekk	লেখক
leks	লেক্স
lektar	লেকটার
len	লেন
lenden	লেনদেন
lept	লেফট
leptenent	লেফটেনেন্ট
leptenyant	লেফটেন্যান্ট
let	লেট
leti	লেটি
lg	লগ
lgan	লোগান
lge	লগে
lha	লোহা
lhar	লোহার
li	লি লী ওলি লিও
libar	লিওয়ার লিভার
libarti	লিবার্টি
libing	লিভিং
libiya	অলিভিয়া
lidar	লিডার
lig	লিগ
lik	লিখ
lika	লিখা
likb	লিখবো লিখব
likbe	লিখবে
likci	লিখছি
like	লিখে লিকে
likece	লিখেছে
likecen	লিখেছেন
likeci	লিখেছি
likecil	লিখেছিল
liki	লিখি
likit	লিখিত
likte	লিখতে
likun	লিখুন
lili	লিলি
liliyana	লিলিয়ানা
lin	লিন লিওন
linaidas	লিওনাইডাস
linda	লিন্ডা লিনডা
ling	লিঙ্গ
lingk	লিংক
linguini	লিঙ্গুঈনি
lipmyan	লিফম্যান
lipt	লিফট লিপ্ত
lipte	লিফটে
lipter	লিফটের
lisa	লিসা
list	লিস্ট
liste	লিস্টে
litl	লিটল
liyar	লিওয়ার
lja	লজ্জা
ljajnk	লজ্জাজনক
ljar	লজ্জার
ljay	লজ্জায়
ljit	লজ্জিত
lk	লোক লক্ষ লক লোকঃ
lkal	লোকাল
lkar	লকার
lkder	লোকদের
lkderke	লোকদেরকে
lke	লোকে
lkeder	লোকেদের
lker	লোকের
lkera	লোকেরা
lkesn	লোকেশন
lkgul	লোকগুলো
lkgulke	লোকগুলোকে
lkgulr	লোকগুলোর
lki	লক্ষী লকি লোকই লোকি
lkir	লকির
lkjn	লোকজন
lkjnder	লোকজনদের
lkjner	লোকজনের
lkjnke	লোকজনকে
lkjnra	লোকজনরা
lkke	লোককে
lkmi	লক্ষ্মী
lkn	লক্ষণ লক্ষন
lkra	লোকরা
lks	লক্ষ
lksan	লোকসান
lksi	লক্ষী
lksmi	লক্ষ্মী
lksn	লক্ষণ লক্ষন
lksy	লক্ষ্য
lksye	লক্ষ্যে
lkta	লোকটা
lktai	লোকটাই
lktake	লোকটাকে
lktar	লোকটার
lkti	লোকটি
lktike	লোকটিকে
lktir	লোকটির
lky	লক্ষ্য
lkye	লক্ষ্যে
lmba	লম্বা
ln	লোন
lnc	লঞ্চ
lndn	লন্ডন
lndne	লন্ডনে
lndner	লন্ডনের
lng	লং
lngn	লঙ্ঘন
lngsyangks	লংশ্যাঙ্কস
lp	অল্প
lr	লড়ো
lra	লরা
lrai	লড়াই
lraiye	লড়াইয়ে
lraiyer	লড়াইয়ের
lraku	লড়াকু
lrar	লড়ার
lrb	লড়বো
lrbe	লড়বে
lrd	লর্ড
lrder	লর্ডের
lre	লড়ে
lredi	অলরেডি
lrens	লরেন্স
lrte	লড়তে
ls	লস অলস
lsn	ওলসন
lta	লতা
ltar	লোথার
ltas	লোটাস
lu	লু
luis	লুইস
luk	লুক
luka	লুকাও লুকা
lukan	লুকানো
lukanr	লুকানোর
lukas	লুকাস
lukate	লুকাতে
lukcuri	লুকোচুরি
lukik	অলৌকিক
lukis	লুকিস
lukiye	লুকিয়ে
lukn	লুকোনো
lukte	লুকোতে
lup	লুপ
lupin	লুপিন
lura	লউরা
lurar	লউরার
lusi	লুসি
lusinda	লুসিন্ডা
lusiyas	লুসিয়াস
lut	লুট
lutar	লুথার
ly	ল্য
lyab	ল্যাব
lyabe	ল্যাবে
lyaber	ল্যাবের
lyand	ল্যান্ড
lyanding	ল্যান্ডিং
lyandn	ল্যান্ডন
lyangdn	ল্যাংডন
lyangra	ল্যাংড়া
lyanistar	ল্যানিস্টার
lyans	ল্যান্স
lyaptp	ল্যাপটপ
lyari	ল্যারি
lyatin	ল্যাটিন
m	ম মোঃ ১ম মো ওম ৫ম
ma	মা মাও
mac	মাছ মাচো
macer	মাছের
maci	মাছি
macli	মাছলি
madar	মাদার
madarc	মাদারচো
madarcd	মাদারচোদ
madarct	মাদারচোত
madblad	মাডব্লাড
madk	মাদক
madurai	মাদুরাই
madyakrsn	মাধ্যাকর্ষণ
madym	মাধ্যম
madyme	মাধ্যমে
madymei	মাধ্যমেই
mag	মাগো
magi	মাগী
magl	মাগল
mahima	মাহিমা
mahir	মাহির
mahmud	মাহমুদ
mai	মাই
maik	মাইক
maikel	মাইকেল
maiki	মাইকি
maikrpn	মাইক্রোফোন
maikrpt	মাইক্রফট
mail	মাইল
mailer	মাইলের
main	মাইন
maind	মাইন্ড
mair	মাইর
maira	মাইরা
mairala	মাইরালা
mairi	মাইরি
maiya	মাইয়া
maj	মাঝ
majamaji	মাঝামাঝি
majari	মাঝারি
maje	মাঝে মাঝেও
majei	মাঝেই
majemaje	মাঝেমাঝে
majemdye	মাঝেমধ্যে
majer	মাঝের
majkane	মাঝখানে
majrate	মাঝরাতে
make	মাকে
makn	মাখন
makrsa	মাকড়সা
makrsar	মাকড়সার
makunga	মাকুঙ্গা
mal	মাল
malamal	মালামাল
malar	মালার
malayali	মালায়ালি
malik	মালিক
maliker	মালিকের
malptr	মালপত্র
malta	মালটা
mama	মামা মাম্মা
mamar	মামার
mami	মাম্মি
mamla	মামলা
mamlar	মামলার
mamlata	মামলাটা
mamlay	মামলায়
mamni	মামনি মামণি
mamuli	মামুলি
man	মান
mana	মানা
manabe	মানাবে
manansi	মানানসই
manay	মানায়
manb	মানব
manbe	মানবে
manbik	মানবিক
manbjati	মানবজাতি
manbjatike	মানবজাতিকে
manbjatir	মানবজাতির
manbtar	মানবতার
manci	মানছি
mancitr	মানচিত্র
mancitre	মানচিত্রে
mancitrer	মানচিত্রের
mane	মানে
manei	মানেই
maner	মানের
mangs	মাংস মাংশ
mangser	মাংসের
mani	মানি
manibyag	মানিব্যাগ
maniye	মানিয়ে
maniyece	মানিয়েছে
manlam	মানলাম
manniy	মাননীয়
manniya	মাননীয়া
mansik	মানসিক
mansikbabe	মানসিকভাবে
mante	মানতে
mantei	মানতেই
manubai	মানুভাই
manus	মানুষ মানুষও
manusder	মানুষদের
manuser	মানুষের
manusera	মানুষেরা
manusgul	মানুষগুলো
manusgulr	মানুষগুলোর
manusi	মানুষই
manusjn	মানুষজন
manuske	মানুষকে
manusra	মানুষরা
manusta	মানুষটা
manustake	মানুষটাকে
manustar	মানুষটার
manusti	মানুষটি
manustike	মানুষটিকে
many	অমান্য মান্য
map	মাফ মাপ
maper	মাপের
mapiya	মাফিয়া
mapiyar	মাফিয়ার
mar	মার মারো
mara	মারা
maramari	মারামারি
maramarir	মারামারির
marar	মারার
maratmk	মারাত্মক
maratnk	মারাত্নক
marb	মারবো মারব
marbe	মারবে
marben	মারবেন
marbi	মারবি
marc	মার্চ মারছ
marce	মারছে
marci	মারছি
marcisn	মারচিসন
mardr	মারধোর
mare	মারে
maren	মারেন
mareni	মারেনি
margaret	মার্গারেট
mari	মারি
maris	মারিস
mariya	মারিয়া
mark	মার্ক
marka	মার্কা
markaj	মারকাজ
markar	মার্কার
markas	মার্কাস
market	মার্কেট
markete	মার্কেটে
markin	মার্কিন
marl	মারল মারলো
marla	মার্লা
marlam	মারলাম
marle	মারলে
marli	মারলি
marlin	মার্লিন
marp	মার্ফ
marpi	মারফি
marsal	মার্শাল
marsedij	মার্সেডিজ
marselas	মারসেলাস
marta	মার্থা মারথা
marte	মারতে
marti	মারটি
martin	মারটিন মার্টিন
martini	মার্টিনি
marun	মারুন
mas	মাস
masaalah	মাশাআল্লাহ
mase	মাসে
masei	মাসেই
maser	মাসের
masi	মাসি
mask	মাস্ক
masrum	মাশরুম
mastar	মাস্টার মাষ্টার
mastarer	মাস্টারের
masul	মাশুল
masum	মাসুম
mat	মাঠ
mata	মাথা মাতা
matabyta	মাথাব্যথা
matal	মাতাল
matamta	মাথামোটা
matar	মাথার
matata	মাথাটা মাতাতা
matay	মাথায়
mate	মাঠে
mater	মাঠের
mati	মাটি
matikaya	ওমাটিকায়া
matir	মাটির
matite	মাটিতে
matr	মাত্র
matra	মাত্রা
matrar	মাত্রার
matray	মাত্রায়
matri	মাত্রই
maui	মাউই
maunt	মাউন্ট
maunten	মাউন্টেন
maya	মায়া
mayer	মায়ের
mayere	মায়েরে
mbail	মোবাইল
mbaile	মোবাইলে
mbailer	মোবাইলের
md	মদ মোড
mdel	মডেল
mdeler	মডেলের
mder	মদের
mdi	মডি
mdiul	মডিউল
mdu	মধু
mdur	মধুর
mdy	মধ্য
mdye	মধ্যে মধ্যেও
mdyei	মধ্যেই
mdykar	মধ্যকার
mdyrate	মধ্যরাতে
me	মে
mebis	মেভিস
med	মেড
meda	মেধা
medabi	মেধাবী
medar	মেধার
medel	মেডেল
medik	মেডিক
medikel	মেডিকেল
medikyal	মেডিক্যাল
medisin	মেডিসিন
meg	মেঘ
megamaind	মেগামাইন্ড
meger	মেঘের
mehman	মেহমান
meil	মেইল
mein	মেইন
mejaj	মেজাজ
meje	মেঝে
mejete	মেঝেতে
mejr	মেজর
mekanik	মেকানিক
mekap	মেকআপ
meke	মেখে
meksik	মেক্সিকো
meksikan	মেক্সিকান
meksikr	মেক্সিকোর
meksikte	মেক্সিকোতে
mela	মেলা
melate	মেলাতে
melbin	মেলবিন
mele	মেলে
melmyan	মেলম্যান
mem	মেম
memar	মেমার
membar	মেম্বার
memri	মেমোরি মেমরি
mene	মেনে
mental	মেন্টাল
mer	মেরো
meramt	মেরামত
meramter	মেরামতের
mere	মেরে
merec	মেরেছ মেরেছো
merece	মেরেছে
merecen	মেরেছেন
mereci	মেরেছি
merecil	মেরেছিল
merecilam	মেরেছিলাম
merecis	মেরেছিস
merei	মেরেই
meri	মেরি মেরী
merida	মেরিডা
merin	মেরিন
merir	মেরীর
merit	মেরিট
mesej	মেসেজ
mesejta	মেসেজটা
mesin	মেশিন
mesinder	মেশিনদের
mesine	মেশিনে
mesiner	মেশিনের
mesinta	মেশিনটা
met	মেট
metate	মেটাতে
meti	মেথিও
